state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.logPopSize51	skygrid.logPopSize52	skygrid.logPopSize53	skygrid.logPopSize54	skygrid.logPopSize55	skygrid.logPopSize56	skygrid.logPopSize57	skygrid.logPopSize58	skygrid.logPopSize59	skygrid.logPopSize60	skygrid.logPopSize61	skygrid.logPopSize62	skygrid.logPopSize63	skygrid.logPopSize64	skygrid.logPopSize65	skygrid.logPopSize66	skygrid.logPopSize67	skygrid.logPopSize68	skygrid.logPopSize69	skygrid.logPopSize70	skygrid.logPopSize71	skygrid.logPopSize72	skygrid.logPopSize73	skygrid.logPopSize74	skygrid.logPopSize75	skygrid.cutOff	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
999001000	-6683.864917567746	-523.7363906333331	-6160.128526934413	398.83818836544873	5633.815586458785	2.4036998940332843	8.299577912813096	8.92164505639117	9.792104269230745	9.412783043244692	9.10001120559424	8.524160830659131	9.410053860700664	9.657791279714097	9.31320292612102	8.680193733882563	8.287215507144872	6.981121832179923	5.636510944849015	4.847764385613081	4.0803853654217175	4.105213958398028	4.154637674619931	5.6789270326397885	5.8070664109875665	4.8393689346299125	5.092814376291479	4.24366040152185	5.287733743699169	5.273651447221125	7.07996090755114	6.047732813593968	6.497759342611405	6.225375416448795	6.888077534510568	6.6608591058978295	6.6893229511992445	7.294691856159609	8.402376382481732	8.549150825035763	8.919298467775864	9.392297913033993	8.891784491053107	8.424397061112924	7.763237229061871	7.301447606737585	6.420432235933309	5.674347672240607	4.815693436046683	5.91558721207265	5.419361877636664	5.507853079173439	6.191815786915715	6.585106602884042	5.534471271047561	5.793513750477684	5.85958557459967	5.741608703818766	5.701541916759195	6.0254984654262245	6.408088169776594	6.951211463903818	6.850519399026508	7.024192663235953	6.764461885135587	6.7968663900557225	7.09118964070055	7.1664997903905245	6.495286866359342	6.781078304529345	7.0408783005533655	6.489837787174055	5.143375860617854	4.101226621693346	4.477909061076235	3.5472811156680626	3.772421794946684	3.371722185700809	3.8962315929016493	4.436343502380082	5.672414429104746	400.0	0.307515478385869	2.5909934608723173	0.3034800474599487	0.11376469171833578	2.413391034515921	0.2708552870479779	0.17913199894388226	0.3236085155664826	0.2189250059981342	0.27833447949151635	0.3655882930857077	7.9E-4	7.900000000000003E-4	-6160.128526934413	0.0	-511.73443312037125
999002000	-6691.337195521202	-522.6485544048596	-6168.688641116342	379.5941661124059	5441.452944351719	1.8615967668077906	8.478037004736892	9.380594995088154	9.358718041924057	9.156006547887007	9.134403928281062	9.24722454101079	10.402248390284765	9.827062402756535	9.206145482644713	8.766349383016715	7.218009795928129	5.932999758867011	5.683279392106209	4.550873956468423	4.640121454793639	4.514460502583361	5.448598341933201	4.493602759948812	3.6636543234946317	4.180341886841904	4.848694747993677	5.251870192678335	5.450535102548488	5.945254785920006	6.339620577563405	5.954166802833954	6.048758209170398	7.708215209888241	8.829681795048394	8.679436021143282	8.047347749585676	8.511053368048751	9.036347971469606	8.87244953585208	8.47222687987223	8.02214160003391	8.619354512963653	8.842234090805432	9.617937055013055	10.312451654448843	9.993951981107035	10.108973610322233	10.895775190851149	11.940976369804925	10.287281158690472	10.089517114410427	9.263825346955574	8.458378889309042	8.008326184249723	8.417482518291617	8.77388317532882	9.010789864686565	8.786181581766034	8.38522918959241	8.525807756988852	9.079203396133675	9.67875157654874	9.208566847564889	9.229242005688228	8.195976063824375	7.880266043145558	8.602144393427206	8.356488385175355	7.807492232074025	5.906473995532808	4.798097770045085	3.4869070680167535	3.4199233718045585	2.618267396050748	3.153970256806984	1.7440505314440022	2.2530683561730243	2.6522983501173045	1.5848184929182738	2.914953733665465	400.0	0.2919511644062711	2.5262238601429727	0.22254528384804065	0.2227905833328513	2.4102844301439625	0.3262046781262712	0.17831919170037216	0.3248665350893788	0.2017825084980766	0.29503176471218784	0.36946552948128597	7.9E-4	7.9E-4	-6168.688641116342	0.0	-510.89470352422177
999003000	-6685.434811733558	-521.4901639680478	-6163.94464776551	418.3599968566954	5649.037352782641	1.8476497341702556	10.112386036001002	10.087851659352262	9.568110197631336	10.531874895251102	9.92151992675535	9.438296718246024	8.82366269367934	9.748914385870595	10.048537471671581	8.491703951191356	7.319605346626244	6.321310755355607	5.677603137478892	4.375733189479604	5.188487573375174	5.5514157472544765	4.233649167811089	5.1818343029664655	4.823183836546791	4.752864850470738	6.0842488065439895	7.5122950482284665	7.703846751585215	7.65205027574712	7.799887981992463	8.722544588534577	8.306410740029293	7.864426169197525	7.907792745478277	7.645844816213838	6.778224017653362	7.108770383886788	8.207513243532997	7.599567462050413	8.43807921300743	8.514335232099938	9.235450351255881	8.84788278631783	9.451058282575284	9.45887739492654	9.253738966798881	8.626992508019992	9.293447981463418	10.059808286042323	10.536048599128021	10.19502109670311	10.439855705376502	11.007964470290894	11.908816830190883	11.309895069478324	10.824003377486918	10.23368380671534	9.136570182131699	9.58363529364943	9.50446691916791	8.611840693453164	8.806159120291012	8.22179186814568	9.433764336538523	9.033552247231462	8.51244164043938	7.837171423004789	8.076635866504065	7.1800421664199074	7.155038258134531	7.371138131866294	7.632251529359342	6.569262337824752	6.02718968526804	5.884166808527613	5.458086113284687	6.008705604224279	5.712000864110168	4.721139184403547	4.491769853376	400.0	0.2919511644062711	2.4261999931806666	0.36242086740225676	0.21813826376561163	2.501699984611441	0.19958972663412192	0.17848051579149524	0.3247052109982557	0.2147255704157937	0.28208870279447074	0.3577344814095901	7.9E-4	7.899999999999993E-4	-6163.94464776551	0.0	-509.767301789162
999004000	-6707.385851875737	-545.8250675001805	-6161.560784375556	370.62067861713956	5355.9732917812935	1.0789562424919978	8.078610864748939	8.517006039759224	8.970596906483133	10.064978244892853	9.788888663727878	10.0100765904481	9.86451090127086	9.342999468527651	8.694402066884173	7.731933228980052	7.69238371724003	6.041565311340113	5.605680416015925	4.498882720090273	4.729606663077705	4.678360656655691	4.804112262085166	4.742091756522861	5.458078033326033	6.230236621479195	6.688749918390971	6.328185082807295	6.247828369656522	5.931912382944666	6.796801121262293	5.48445591014247	6.656126143575722	7.245719694275387	6.801599912104046	8.718817114040402	7.198967575088524	9.78580466812587	11.059968875879685	11.623038721959242	10.96982887264618	11.595691151969397	10.651616502981529	11.016285831335054	11.993287283201337	10.400603505955837	10.8706341271678	11.337929763577279	10.967416876450152	11.323151868262384	11.53318446849525	11.022300301469858	9.836664402078924	10.40388493641248	10.685773789915789	9.349364593979633	10.802247305331996	11.840153241712578	11.796102803696272	10.76328508292685	9.666893486794045	8.946202439883564	7.664459204216815	6.541987874928961	6.970204552573842	7.635634040206729	7.080225017200243	6.553787230087067	4.203456187819818	4.298957952396928	3.128070200379579	3.0663298798371157	4.646778039034725	4.22892440310934	1.3394759130264555	1.168012946316604	1.577455573394634	1.7697675492886689	1.4991361583895901	1.7716591740205536	3.3639012427123722	400.0	0.2919511644062711	2.4261999931806666	0.36242086740225676	0.16836234695637217	2.501699984611441	0.24936564344336137	0.19066408703179605	0.35136439578623957	0.2147255704157937	0.24324594676618602	0.33799091874151316	7.9E-4	7.900000000000001E-4	-6161.560784375556	0.0	-534.6798435056123
999005000	-6703.9508980892115	-547.0202961066997	-6156.930601982512	377.12553852729775	5446.200832302867	0.9577551464371143	7.791619445199967	8.600196929401855	9.093321463227873	9.643915064318103	8.036788703208856	8.617027706633106	8.610730488337602	8.272859267811894	7.800000640918717	9.329457200038476	8.401246563748343	6.419785411619796	5.029306512361624	4.740072799269701	4.379508603245749	4.061512955034511	4.5827594267680976	4.700833824555744	4.310072911444516	5.735348854992993	6.0695409567125	5.844304962062058	6.595727785325315	6.866360686183366	8.893475015140892	10.251687875716467	8.997488958057218	11.362611819881412	11.32235635271078	11.889044469347317	11.789554345081708	11.133940664198747	10.378524288092532	9.613230299828807	8.864928310182755	7.574767335512453	9.071414089623202	9.794335382389582	11.035777346222526	12.697886039318153	11.430714326659627	10.838932754792971	10.981528515075198	11.923676125681247	9.24847919192791	8.150652328424265	7.668817255406846	8.560494845253476	9.66415630465036	9.868152816063875	8.962136836394206	9.393964354678232	8.978364023991189	9.194840766172184	8.581882613459838	7.158435502694582	6.875983916108061	4.737770743528485	6.475888501974804	6.9982968489171755	6.349401420141032	5.284038026746031	6.407284614304773	5.254522444213019	4.308882352031504	4.200924873954998	3.5899877337322152	3.1954281584781556	3.5941838600413485	4.0798361544125505	4.472292216488124	4.5098287510185315	4.046054145598713	5.922598054274744	5.623409462807128	400.0	0.3371615170080764	2.41622614166548	0.3523351214134439	0.18966886065081312	2.455242715819194	0.24936564344336137	0.18567271365140448	0.31823963716354703	0.22598004781585557	0.2701076013692083	0.37915268223648657	7.9E-4	7.900000000000001E-4	-6156.930601982512	0.0	-535.9119078826265
999006000	-6695.5843202094575	-532.92797436369	-6162.656345845768	382.81840890213493	5373.0752417791255	1.6288900833119881	8.43696840640538	8.966896553130583	8.609658379406168	9.251021232765623	10.685988823735912	10.945406046201192	10.582659268275293	8.150332033982645	8.2682094353678	7.372971989269194	8.083998728371297	6.171557951675311	6.038617627390019	4.566473627038909	4.595373362315209	5.706897265465589	5.212105385239764	5.08731664532872	6.127236828126362	5.593645919201963	5.715551864364785	5.480313051298918	4.889602368705228	5.3147892919561315	5.858232806114004	6.250433003749592	7.543148113393656	7.528053281699353	7.175587251506841	6.7688293001184885	6.975784652676089	6.937573434178518	7.637816736128068	8.030577305076251	8.99531250589624	8.622745031920873	9.059828113053493	8.808731826819532	10.137433500999894	10.045868896611944	8.455022865666283	7.092473965517055	6.666611400809577	5.935420705030039	5.205400554856959	5.345451723058815	5.715841295432199	5.055803674597673	6.484773953756629	6.185679958186215	6.655525816072469	7.54995451996367	7.401137979446731	5.712004349044528	5.8838538348935625	6.242152348889196	7.195131426100241	6.05545868067188	5.658236093809326	5.272278100365696	5.178488979730544	4.59140041786089	4.481356137987847	4.2304552182070285	3.2594703611112905	3.294009912815135	4.872055842824003	5.185127128964094	4.977446831537643	3.4582465926172135	2.9045836435716295	3.308865687102427	3.8391324157802993	4.48347162535033	3.3233850046227125	400.0	0.3371615170080764	2.405927725061023	0.3664161581677382	0.13087796308896826	2.520140143395286	0.23947649327927717	0.18431914088415655	0.3376553368231703	0.21863659659058526	0.25938892570210326	0.3554213008845935	7.9E-4	7.9E-4	-6162.656345845768	0.0	-521.3358468550116
999007000	-6716.276873471441	-548.908487792859	-6167.368385678582	343.485780288071	5156.672870331772	1.0043563990113475	9.215777891373234	8.808864638593809	9.084947512346805	9.665932110843965	10.279092805759229	10.093417025404078	11.030198742039198	9.66589378072834	8.540826917462647	7.888468665997954	8.249628116168273	6.091620951984428	5.155994480505384	4.445291733982877	4.408171831728235	4.068297484222408	5.4544658778462045	4.383052941759197	5.9533420893788485	7.268476162322569	7.226299574933527	6.292873136227091	5.984490182716133	5.580854894439335	5.53395070421883	7.665097063643148	7.346264394165031	7.970410655828144	7.128414780879979	7.819595224485234	9.36429116724339	11.612270459200403	11.349426514369481	10.974716649868748	11.698132134057325	10.999042479928166	12.428169719473544	12.528429435858618	11.332833062514197	11.799088155376602	11.131005216645299	12.80356904562868	11.70911324798013	11.854348661042224	10.059938945761342	8.885000232130178	8.794727744416521	9.182153955534229	9.386656740492155	9.70068860046636	10.958156005487666	10.724061806676922	9.453740309154718	8.433794373189368	9.618179988548194	7.818379380831237	7.843295026536387	6.915373518613073	3.9728402379098675	3.245316823893784	3.1196483109174924	4.1521958809276835	3.466890086296386	1.5845421573831397	2.3329343750643923	0.48854790646103985	1.1251629862746162	1.8623515842483305	1.493702553990157	2.7330952211781816	2.3173773414066776	3.084692300984886	2.6806581452801	4.908204574062111	2.425043127228662	400.0	0.4253353716253072	2.2677836366957442	0.3664161581677382	0.18652562351076296	2.553933741539145	0.20000546846167092	0.17625623925054035	0.3297731090967873	0.22048382950195142	0.27348682215073633	0.38311830702579247	7.9E-4	7.899999999999999E-4	-6167.368385678582	0.0	-537.7446591686899
999008000	-6701.920283857384	-548.4498766927561	-6153.470407164627	357.77360098243304	5186.255119857857	1.2301323337294048	10.261816131217422	10.594170235015318	11.132650029119972	9.17620947817094	8.45814505143299	9.276959416138649	10.615299128342302	8.968858685493673	8.879694985546852	8.437022738569619	7.486980090349658	5.406930208353467	5.163150509085688	4.372917867392547	4.197703088032948	4.391796305212475	5.595761302914287	6.224072710489287	7.1201524976120005	6.978541371729031	7.31746625048247	7.09834312229763	10.01880489829892	9.607211384552237	9.443248214210353	8.18608965309309	9.618090355095829	10.581045419498114	10.30574073141327	10.005912167966768	10.49674996950565	11.047580894669284	10.025378826104468	9.082524236449599	8.203424847210023	8.30639156318572	8.949526941403901	9.489580532285547	8.905803803056976	7.112636851502146	7.457333671971803	8.7397549761339	8.29323565595546	8.75796309485472	9.214564400792938	7.84840417856075	8.923998459487072	8.243570997610014	7.581109186426045	6.380970525026134	5.635000323320402	6.167689182907408	6.260175877055427	6.09562697486969	7.037099016408042	7.297511177279056	7.859733767674708	7.56787918632314	6.73826215262541	7.326845930815434	4.398973589420111	3.54264060741377	2.187300012777363	2.6204147064914722	2.795623461440413	1.4955258965157623	2.8692598789813744	4.03201439287985	2.4470978348120274	2.427060670654539	4.184236841850792	3.3350956773958202	3.985556564135759	3.5202969242199025	3.4541249529458633	400.0	0.35542488068249634	2.2677836366957442	0.37905349963989937	0.18514283604267	2.6252270199500485	0.18736812698950975	0.17615105867769812	0.3170349347734265	0.2340463278312017	0.27276767871768914	0.34364647877266497	7.9E-4	7.899999999999994E-4	-6153.470407164627	0.0	-537.1621939093525
999009000	-6687.12222284603	-530.5457451363245	-6156.576477709706	350.9030271663355	5190.233822761681	1.1119061610495657	8.673232354654266	9.268876575014072	9.531135522636122	9.408276720278366	10.592667313371457	9.596035407052582	8.983945081435527	9.546819360953714	9.778368808049217	7.666055043414684	6.716006813732193	5.2375800815281295	4.72422355463066	4.901677741728843	4.535858905788538	4.611157207292716	5.61333671643334	5.02897929539982	5.72030709174439	4.015496118546781	6.221093020692062	6.822412259123275	7.232762196038232	7.2863937445332	6.6685761297286845	7.026570464128233	8.359741492835987	7.111475608837156	7.2605200902493285	7.455209128544718	8.890314699609457	6.9558087474745385	8.518386965097276	9.453622467671817	10.337475937619926	9.682033255284889	10.216933873349571	10.021013307621379	10.292200236742646	10.91014511796793	10.67880814875542	10.524529421372561	9.703314601214206	8.27444607196432	8.833246100239114	8.386898547785643	9.40731249184665	8.988870736219686	9.836688149915142	11.567951464673246	10.831874622052952	11.476145096722885	10.521068345251532	8.77641600577196	8.63614237154557	9.205913129029938	8.024298514588235	7.0020663111189885	5.283973042931204	5.271731321590083	4.034871257574643	5.267196161510637	4.879608541499703	3.769988847018812	2.20847174119691	2.9373161358577926	1.1025707984655675	2.3837054923683794	2.524985416407075	1.189032158630483	1.6452629939533514	0.6884474584619653	0.42314647342285316	0.22082287748197293	0.6351783697740974	400.0	0.35542488068249634	2.5302707043307744	0.37905349963989937	0.16095784762193555	2.386924940735753	0.18736812698950975	0.18681014889079484	0.3139669581252716	0.21260404999217458	0.2866188429917745	0.35268723736257446	7.9E-4	7.900000000000003E-4	-6156.576477709706	0.0	-519.3410439632393
999010000	-6730.939163593566	-575.486617096239	-6155.452546497328	361.09395832461973	5221.477583675926	0.22873283670983885	8.4374579793105	8.602444635207702	9.3220440956989	9.535268686918645	9.573206861859445	9.728749771345818	8.568304352630786	8.664981800200358	10.378169901366753	7.594227835689836	7.1110262929685515	5.591641864051841	5.091503140583132	4.421618255380612	4.176394047583711	3.755715150447845	3.659175654810752	5.082055242226562	10.161401380513254	8.950397141427631	10.356951711043996	7.865702748582698	10.269960880170052	11.42694979322631	11.92272818848832	12.113879743267177	15.301974968816545	11.978371940556626	12.090240661968839	11.926244541639903	9.253978274450784	9.697871030279236	10.440776547276927	9.936831513468404	11.215871714405122	9.787222008124619	10.174815322483385	11.434068925259078	10.689899100881107	13.751929885746982	14.13370933640348	12.66526524272442	9.551144342469769	10.344526543221265	7.8720173882679605	13.334843509552668	14.241158739711125	11.569239515573788	11.220411448037897	11.286187180140754	7.464975556308401	9.236789844529522	6.745620331731172	8.234804699221801	6.666362519982951	4.346297741784049	3.2115167588971696	6.789556549356492	9.240124932063898	9.615179486825577	8.925326523366323	7.2629440870963204	5.6387380067918516	6.01717991698125	1.7360906442810158	1.7855212448639042	1.215647046903303	2.499518255080811	3.7406205087158595	3.676636864990724	0.6970046363131279	3.0031382582034225	1.5494747647583842	-0.2393693602567093	3.154735854553311	400.0	0.35542488068249634	2.461445207868705	0.3422971800639363	0.16095784762193555	2.386924940735753	0.29294994302754224	0.18681014889079484	0.3499702263684276	0.19303702848050208	0.270182596260291	0.3274527781246253	7.9E-4	7.899999999999998E-4	-6155.452546497328	0.0	-565.9129631516812
